Java overload resolution|EASY|Java|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|A class overloads f(Object) and f(String). What does f(null) call?|f(Object)~f(String)~Compilation always fails~The overload is ambiguous|B|Amazon,Oracle
Java interface default methods|EASY|Java|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|A class implements two interfaces that provide the same default method. What must the class do?|Nothing; the first interface wins~Override the method and resolve the conflict~Declare the method static~Remove both interfaces|B|Oracle,Microsoft
Java equals and hashCode|EASY|Java Collections|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|What contract must hold for two objects that are equal according to equals?|They must have the same hashCode~They must be the same reference~Their hash codes must differ~Their classes must be identical|A|Amazon,Oracle
Java immutable objects|EASY|Java OOP|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Which design choice best protects a mutable List held by an immutable class?|Return the field directly~Return a defensive copy and copy input values~Make the field public final~Synchronize every getter|B|Microsoft,Oracle
Java checked exceptions|EASY|Java|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|What must a method do when it calls a checked-exception method and does not handle that exception?|Declare it in throws~Convert it to an unchecked exception automatically~Ignore it~Catch Throwable in the caller|A|Amazon,Oracle
SQL filtering after aggregation|EASY|SQL|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Which clause filters groups after GROUP BY has computed aggregates?|WHERE~HAVING~ORDER BY~DISTINCT|B|Amazon,Microsoft
SQL LEFT JOIN unmatched rows|EASY|SQL Joins|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|What values appear for right-table columns when a LEFT JOIN finds no match?|The join removes the left row~NULL values~Zero values~The previous matching row|B|Amazon,Google
SQL primary key|EASY|DBMS|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|Which statement describes a primary key?|It uniquely identifies each row and cannot be NULL~It may contain duplicate values~It is always a text column~It must reference another table|A|Amazon,Microsoft
SQL transaction commit|EASY|Transactions|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|What does COMMIT do to a successful database transaction?|Makes its changes durable according to database guarantees~Rolls back its statements~Locks every table permanently~Starts a new transaction|A|Amazon,Oracle
SQL COUNT behavior|EASY|SQL|BACKEND_DEVELOPER,FULL_STACK_DEVELOPER|What does COUNT(column_name) exclude?|Rows where that column is NULL~Rows where that column is zero~Duplicate values only~Rows with a foreign key|A|Google,Amazon
JavaScript const binding|EASY|JavaScript|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|What does const prevent for an object variable?|Mutation of every nested property~Reassignment of the binding~Reading the object~Adding properties|B|Google,Meta
JavaScript promise rejection|EASY|JavaScript Async|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Which construct handles a rejected promise in an async function?|try/catch around await~for/in~switch only~MutationObserver|A|Google,Meta
JavaScript strict equality|EASY|JavaScript|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|What does === compare without doing?|Type coercion~Reference checks~Value comparisons~NaN checks|A|Google,Meta
React state updates|EASY|React|FRONTEND_DEVELOPER,FULL_STACK_DEVELOPER|Why should React state be updated through its setter rather than assigning to a variable?|The setter schedules a render with the new state~Direct assignment is syntax-invalid~The setter persists state to a database~Direct assignment destroys the component|A|Meta,Airbnb
